"Posting ID","Month","Ring","Sphere","RAG","First Draft Due","Second Draft Due","Posting Date","Comment","Posting Time Range","Instant Or Scheduled","Manager Approval","Posting Manager","Content","Assigned To","Post Type","Series","Title","Content Detail","Platform","Content Type","Live Sessions","Target Region","Target Language"
"45","May","72D Social Media","CANNES","FALSE","","","","","0","0","0","0","The Market","TBD","Entertainment","72D Festival Coverage","Cannes Promo","Market HIghlight ","IG + FB","Articles and photos","","Global","English"
"44","May","72D Social Media","CANNES","FALSE","2019-05-10","","","","10","0","0","0","Country Coverage","TBD","Entertainment","72D Festival Coverage","Country Coverage","India @ Cannes","IG + FB","Photo","","Global","English"
"43","May","72D Social Media","CANNES","FALSE","2019-05-08","","","","10","0","0","0","Women's Movement","TBD","Entertainment","72D Festival Coverage","Women's Movement","Profile about the Female Jurors","IG + FB","Blog","","Global","English"
"42","May","72D Social Media","CANNES","FALSE","2019-05-06","","","","10","0","0","0","The Market","TBD","Entertainment","72D Festival Coverage","The Market","Market HIghlight ","IG + FB","Teaser","","Global","English"
"41","May","72D Social Media","CANNES","FALSE","2019-05-04","","","","10","0","0","0","The Festival","TBD","Entertainment","72D Festival Coverage","The Festival","About this Jury Member","IG + FB","Photo","","Global","English"
"40","May","72D Social Media","CANNES","FALSE","2019-05-03","","","","0","0","0","0","Films At Cannes","TBD","Entertainment","72D Festival Coverage","Films At Cannes","Summarizing each movie up for an award","IG + FB","Video and Photo","","Global","English"
"39","May","72D Social Media","CANNES","FALSE","2019-05-01","","","","10","0","0","0","Fashion At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","UPDATE of Fashion @ Cannes","IG + FB","Teaser","","Global","English"
"38","Apr","72D Social Media","Hannah SM","FALSE","2019-04-29","","","","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Weird/funny France-isms","IG + FB","Photo","","Global","English"
"37","Apr","72D Social Media","Hinly SM","FALSE","","","","","0","0","0","0","News Article","Hinly","Entertainment","Hollywood North","Content","800 word article and photos","IG + FB","Articles and photos","","Global","English"
"36","Apr","72D Social Media","CANNES","FALSE","2019-04-27","","","","10","0","0","0","News Article","Hannah","Entertainment","Road to Cannes","Content","Most anticipated screenings this year","IG + FB","Photo","Facebook","Global","English"
"35","Apr","72D Social Media","Hannah SM","FALSE","2019-04-26","","","","10","0","0","0","Behind the Scenes","Hannah","Entertainment","Connexion Francais","Content","Brief snapshot on a French filmmaker or production company","IG + FB","Blog","NA","Global","English"
"34","Apr","72D Social Media","Hannah SM","FALSE","2019-04-24","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Short teaser about the web series","IG + FB","Teaser","NA","Global","English"
"33","Apr","72D Social Media","Hannah SM","FALSE","2019-04-22","","","","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Making and/or eating a classic French dish","IG + FB","Photo","NA","Global","English"
"32","Apr","72D Social Media","CANNES","FALSE","2019-03-16","","","","0","0","0","0","Cannes Promo","Susan","Entertainment","Road to Cannes","Road to Cannes","Kate Blanchet History at the Festival","IG + FB","Video and Photo","NA","Global","English"
"31","Apr","72D Social Media","CANNES","FALSE","2019-04-20","","","","10","0","0","0","News Article","Hannah","Entertainment","Road to Cannes","Content","Heels on the Red Carpet insident last year","IG + FB","Video","NA","Global","English"
"30","Apr","72D Social Media","Hannah SM","FALSE","2019-04-19","","","","10","0","0","0","Behind the Scenes","Hannah","Entertainment","Connexion Francais","Content","Article summary/hype","IG + FB","Teaser","NA","Global","English"
"29","Apr","72D Social Media","Hannah SM","FALSE","2019-04-17","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Weird/funny France-isms","IG + FB","Photo","NA","Global","English"
"28","Apr","72D Social Media","Hannah SM","FALSE","2019-04-15","","","","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Fun fact about France/the French film industry","IG + FB","Photo","FB LIVE","Global","English"
"27","Apr","72D Social Media","Hannah SM","FALSE","2019-04-13","","","","10","0","0","0","News Article","Hannah","Entertainment","Connexion Francais","Content","Brief snapshot on a French filmmaker or production company","IG + FB","Blog","NA","Global","English"
"26","Apr","72D Social Media","Hinly SM","FALSE","","","","","0","0","0","0","News Article","Hinly","Entertainment","Road to Cannes","Content","Country Coverage:  Canada @ Cannes","IG + FB","Articles and photos","NA","Global","English"
"25","Apr","72D Social Media","Hannah SM","FALSE","2019-04-12","","","","10","0","0","0","Behind the Scenes","Hannah","Entertainment","Connexion Francais","Content","Short teaser about the web series","IG + FB","Teaser","NA","Global","English"
"24","Apr","72D Social Media","Hannah SM","FALSE","2019-04-10","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Making and/or eating a classic French dish","IG + FB","Photo","NA","Global","English"
"23","Apr","72D Social Media","CANNES","FALSE","2019-04-08","","","","0","0","0","0","Cannes Promo","Susan","Entertainment","Road to Cannes","Content","Not one but 5 Festivals, a breakdown of each","IG + FB","Video and Photo","NA","Global","English"
"22","Apr","72D Social Media","Hannah SM","FALSE","2019-04-06","","","","10","0","0","0","News Article","Hannah","Entertainment","Road to Cannes","Content","Article on Female Directors who have won awards","IG + FB","Video","NA","Global","English"
"21","Apr","72D Social Media","Hannah SM","FALSE","2019-04-05","","","","10","0","0","0","Behind the Scenes","Hannah","Entertainment","Connexion Francais","Content","Article summary/hype","IG + FB","Teaser","NA","Global","English"
"20","Apr","72D Social Media","Hinly SM","FALSE","","","","","0","0","0","0","News Article","Hinly","Entertainment","Hollywood North","Content","800 word article and photos","IG + FB","Articles and photos","NA","Global","English"
"19","Apr","72D Social Media","Hannah SM","FALSE","2019-04-03","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Weird/funny France-isms","IG + FB","Photo","NA","Global","English"
"18","Apr","72D Social Media","Hannah SM","FALSE","2019-04-01","","","","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Fun fact about France/the French film industry","IG + FB","Photo","FB LIVE","Global","English"
"17","Mar","72D Social Media","Hannah SM","FALSE","2019-03-30","","","","10","0","0","0","News Article","Hannah","Entertainment","Connexion Francais","Content","Clip/image from a classic French film or television show","IG + FB","Video","NA","Global","English"
"16","Mar","72D Media","Hinly SM","FALSE","","","","","0","0","0","0","News Article","Hinly","Entertainment","Hollywood North","Content","800 word article and photos","IG + FB","Articles and photos","NA","Global","English"
"15","Mar","72D Social Media","Hannah SM","FALSE","2019-03-29","","","","10","0","0","0","Behind the Scenes","Hannah","Entertainment","Connexion Francais","Content","Article summary/hype","IG + FB","Teaser","NA","Global","English"
"14","Mar","72D Social Media","Hannah SM","FALSE","2019-03-27","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Weird/funny France-isms","IG + FB","Photo","NA","Global","English"
"13","Mar","72D Social Media","Hannah SM","FALSE","2019-03-25","","","","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Fun fact about France/the French film industry","IG + FB","Photo","NA","Global","English"
"12","Mar","72D Social Media","Hannah SM","FALSE","2019-03-23","","","","10","0","0","0","News Article","Hannah","Entertainment","Connexion Francais","Content","Brief snapshot on a French filmmaker or production company","IG + FB","Blog","NA","Global","English"
"11","Mar","72D Social Media","Hannah SM","FALSE","2019-03-22","","","","10","0","0","0","Behind the Scenes","Hannah","Entertainment","Connexion Francais","Content","Question and answer session on Instagram live","IG + FB","Video","NA","Global","English"
"10","Mar","72D Social Media","Hannah SM","FALSE","2019-03-20","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Making and/or eating a classic French dish","IG + FB","Photo","NA","Global","English"
"9","Mar","72D Social Media","Hannah SM","FALSE","2019-03-18","","","","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Clip/image from a classic French film or television show","IG + FB","VIDEO","NA","Global","English"
"8","Mar","72D Social Media","Hannah SM","TRUE","","","","","10","0","0","0","News Article","Hannah","Entertainment","Connexion Francais","Content","Most controversial films to debut at Cannes, list/slideshow","IG + FB","TEASER","NA","Global","English"
"7","Mar","72D Social Media","CANNES","FALSE","2019-03-16","","","","0","0","0","0","Cannes Promo","Susan","Entertainment","Road to Cannes","Content","Alejandro G. Iñárritu, first Mexican President","IG + FB","Video and Photo","NA","Global","English"
"6","Mar","72D Social Media","Hannah SM","FALSE","2019-03-15","","","","10","0","0","0","Behind the Scenes","Hannah","Entertainment","Connexion Francais","Content","Article summary/hype","IG + FB","TEASER","NA","Global","English"
"5","Mar","72D Social Media","Hannah SM","FALSE","2019-03-13","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Article summary/hype","IG + FB","TEASER","NA","Global","English"
"4","Mar","72D Social Media","Hannah SM","FALSE","2019-03-11","","","","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Weird/funny France-isms","IG + FB","PHOTO","NA","Global","English"
"3","Mar","72D Social Media","Hannah SM","FALSE","2019-03-13","","","","10","0","0","0","Facts","Hannah","Entertainment","Connexion Francais","Content","Fun fact about France/the French film industry","IG + FB","PHOTO","NA","Global","English"
"2","Mar","72D Social Media","Hannah SM","Green","2019-03-11","","","Waiting for posting from Hinly","10","0","0","0","Film Locations","Hannah","Entertainment","Connexion Francais","Content","Brief teaser for the web series","IG + FB","TEASER","NA","Global","English"
"1","Mar","72D Media","Hinly SM","Green","","","","Waiting for Posting to Media Site from David","10","0","0","0","Travel","Hinly","Entertainment","Hollywood North","Content","800 word article and photos","IG + FB","ARTICLE + PHOTO","NA","Global","English"
